season,week,tm_id,tm,tm_score,opp_score,opp_id,opp,result,win_loss,season_type
2020,7,8,Hosta,82.58,189.56,11,Logan,0,L,Regular
2020,7,8,Hosta,82.58,189.56,11,Logan,0,L,Regular
2020,7,5,Patrick,105.82,58.72,2,Montel,1,W,Regular
2020,7,5,Patrick,105.82,58.72,2,Montel,1,W,Regular
2020,7,11,Logan,189.56,82.58,8,Hosta,1,W,Regular
2020,7,11,Logan,189.56,82.58,8,Hosta,1,W,Regular
2020,7,3,Tommy,165.06,128.52,10,Zac,1,W,Regular
2020,7,3,Tommy,165.06,128.52,10,Zac,1,W,Regular
2020,7,10,Zac,128.52,165.06,3,Tommy,0,L,Regular
2020,7,10,Zac,128.52,165.06,3,Tommy,0,L,Regular
2020,8,4,JP,98.84,116.04,1,Tom,0,L,Regular
2020,8,4,JP,98.84,116.04,1,Tom,0,L,Regular
2020,8,6,Aviel,103.06,115.64,7,Conor,0,L,Regular
2020,8,6,Aviel,103.06,115.64,7,Conor,0,L,Regular
2020,8,2,Montel,86.94,86.52,9,Naad,1,W,Regular
2020,8,2,Montel,86.94,86.52,9,Naad,1,W,Regular
2020,8,1,Tom,116.04,98.84,4,JP,1,W,Regular
2020,8,1,Tom,116.04,98.84,4,JP,1,W,Regular
2020,8,7,Conor,115.64,103.06,6,Aviel,1,W,Regular
2020,8,7,Conor,115.64,103.06,6,Aviel,1,W,Regular
2020,8,12,Randal,143.84,159.42,11,Logan,0,L,Regular
2020,8,12,Randal,143.84,159.42,11,Logan,0,L,Regular
2020,8,9,Naad,86.52,86.94,2,Montel,0,L,Regular
2020,8,9,Naad,86.52,86.94,2,Montel,0,L,Regular
2020,8,8,Hosta,137.06,77.64,3,Tommy,1,W,Regular
2020,8,8,Hosta,137.06,77.64,3,Tommy,1,W,Regular
2020,8,5,Patrick,169.66,114.4,10,Zac,1,W,Regular
2020,8,5,Patrick,169.66,114.4,10,Zac,1,W,Regular
2020,8,11,Logan,159.42,143.84,12,Randal,1,W,Regular
2020,8,11,Logan,159.42,143.84,12,Randal,1,W,Regular
2020,8,3,Tommy,77.64,137.06,8,Hosta,0,L,Regular
2020,8,3,Tommy,77.64,137.06,8,Hosta,0,L,Regular
2020,8,10,Zac,114.4,169.66,5,Patrick,0,L,Regular
2020,8,10,Zac,114.4,169.66,5,Patrick,0,L,Regular
2020,9,4,JP,143.4,135.76,5,Patrick,1,W,Regular
2020,9,4,JP,143.4,135.76,5,Patrick,1,W,Regular
2020,9,6,Aviel,109.44,128.48,3,Tommy,0,L,Regular
2020,9,6,Aviel,109.44,128.48,3,Tommy,0,L,Regular
2020,9,2,Montel,136.56,124.02,11,Logan,1,W,Regular
2020,9,2,Montel,136.56,124.02,11,Logan,1,W,Regular
2020,9,1,Tom,121.72,122.74,10,Zac,0,L,Regular
2020,9,1,Tom,121.72,122.74,10,Zac,0,L,Regular
2020,9,7,Conor,118.28,138.2,8,Hosta,0,L,Regular
2020,9,7,Conor,118.28,138.2,8,Hosta,0,L,Regular
2020,9,12,Randal,87.2,111.6,9,Naad,0,L,Regular
2020,9,12,Randal,87.2,111.6,9,Naad,0,L,Regular
2020,9,9,Naad,111.6,87.2,12,Randal,1,W,Regular
2020,9,9,Naad,111.6,87.2,12,Randal,1,W,Regular
2020,9,8,Hosta,138.2,118.28,7,Conor,1,W,Regular
2020,9,8,Hosta,138.2,118.28,7,Conor,1,W,Regular
2020,9,5,Patrick,135.76,143.4,4,JP,0,L,Regular
2020,9,5,Patrick,135.76,143.4,4,JP,0,L,Regular
2020,9,11,Logan,124.02,136.56,2,Montel,0,L,Regular
2020,9,11,Logan,124.02,136.56,2,Montel,0,L,Regular
2020,9,3,Tommy,128.48,109.44,6,Aviel,1,W,Regular
2020,9,3,Tommy,128.48,109.44,6,Aviel,1,W,Regular
2020,9,10,Zac,122.74,121.72,1,Tom,1,W,Regular
2020,9,10,Zac,122.74,121.72,1,Tom,1,W,Regular
2020,10,4,JP,109.1,81.06,9,Naad,1,W,Regular
2020,10,4,JP,109.1,81.06,9,Naad,1,W,Regular
2020,10,6,Aviel,108.92,111.02,5,Patrick,0,L,Regular
2020,10,6,Aviel,108.92,111.02,5,Patrick,0,L,Regular
2020,10,2,Montel,85.78,129.34,3,Tommy,0,L,Regular
2020,10,2,Montel,85.78,129.34,3,Tommy,0,L,Regular
2020,10,1,Tom,147.7,115.26,8,Hosta,1,W,Regular
2020,10,1,Tom,147.7,115.26,8,Hosta,1,W,Regular
